1,New York,NY
2,Los Angeles,CA
3,Chicago,IL
4,Brooklyn,NY
5,Queens,NY
6,Houston,TX
7,Manhattan,NY
8,Philadelphia,PA
9,Phoenix,AZ
10,San Antonio,TX
11,Bronx,NY
12,San Diego,CA
13,Dallas,TX
14,San Jose,CA
15,East San Gabriel Valley,CA
16,Austin,TX
17,Jacksonville,FL
18,San Francisco,CA
19,Indianapolis,IN
20,Columbus,OH
21,Fort Worth,TX
22,Charlotte,NC
23,Detroit,MI
24,El Paso,TX
25,Seattle,WA
26,Denver,CO
27,Washington,DC
28,Memphis,TN
29,Boston,MA
30,Nashville-Davidson,TN
31,Baltimore,MD
32,Metropolitan Government,TN
33,Oklahoma City,OK
34,Portland,OR
35,Las Vegas,NV
36,Milwaukee,WI
37,Albuquerque,NM
38,Tucson,AZ
39,Fresno,CA
40,East Seattle,WA
41,Central Contra Costa,CA
42,Sacramento,CA
43,Staten Island,NY
44,Long Beach,CA
45,Northeast Tarrant,TX
46,Kansas City,MO
47,Mesa,AZ
48,Northwest Harris,TX
49,Atlanta,GA
50,Northeast Jefferson,CO
51,Virginia Beach,VA
52,Omaha,NE
53,Colorado Springs,CO
54,Raleigh,NC
55,Miami,FL
56,Oakland,CA
57,Minneapolis,MN
58,Tulsa,OK
59,Cleveland,OH
60,Wichita,KS
61,New Orleans,LA
62,Arlington,TX
63,North Coast,CA
64,Honolulu,HI
65,Bakersfield,CA
66,Tampa,FL
67,Aurora,CO
68,Urban Honolulu,HI
69,Anaheim,CA
70,Kendale Lakes-Lindgren Acres,FL
71,Santa Ana,CA
72,South Aurora,CO
73,Upper San Gabriel Valley,CA
74,Southwest San Gabriel Valley,CA
75,Corpus Christi,TX
76,Riverside,CA
77,St. Louis,MO
78,Lexington-Fayette,KY
79,West Adams,CO
80,Pittsburgh,PA
81,Stockton,CA
82,Anchorage,AK
83,South Coast,CA
84,Cincinnati,OH
85,St. Paul,MN
86,Southeast Montgomery,TX
87,Fayette,KY
88,Greensboro,NC
89,Toledo,OH
90,Newark,NJ
91,Ewa,HI
92,Plano,TX
93,Henderson,NV
94,Lincoln,NE
95,Louisville,KY
96,Orlando,FL
97,Jersey City,NJ
98,Chula Vista,CA
99,Buffalo,NY
100,Fort Wayne,IN